"Date","Price","Open","High","Low","Vol.","Change %"
"10/14/2025","6.48","6.30","6.48","6.06","25.10K","0.00%"
"10/13/2025","6.48","6.30","6.48","6.04","9.88K","8.00%"
"10/10/2025","6.00","6.30","6.30","6.00","0.01K","-0.33%"
"10/09/2025","6.02","6.10","6.20","6.02","24.40K","-1.31%"
"10/08/2025","6.10","6.18","6.20","6.02","2.69K","0.00%"
"10/07/2025","6.10","6.00","6.10","6.00","0.09K","0.33%"
"10/06/2025","6.08","6.34","6.34","6.08","7.14K","-0.65%"
"10/03/2025","6.12","6.10","6.12","6.10","0.00K","-1.29%"
"10/02/2025","6.20","6.12","6.22","6.12","6.21K","-1.27%"
"10/01/2025","6.28","6.24","6.28","6.24","78.84K","2.28%"
"09/30/2025","6.14","6.20","6.20","6.14","5.69K","-0.97%"
"09/29/2025","6.20","6.04","6.20","6.04","12.71K","1.64%"
"09/26/2025","6.10","6.04","6.10","6.04","0.00K","0.99%"
"09/25/2025","6.04","6.02","6.06","6.02","5.25K","0.33%"
"09/24/2025","6.02","6.12","6.12","5.94","2.55K","-0.66%"
"09/23/2025","6.06","5.82","6.06","5.82","29.13K","4.48%"
"09/22/2025","5.80","5.80","5.80","5.80","0.40K","1.05%"
"09/19/2025","5.74","5.64","5.80","5.64","5.50K","0.35%"
"09/18/2025","5.72","5.74","5.74","5.72","13.81K","-0.35%"
"09/17/2025","5.74","5.72","5.74","5.66","12.35K","0.35%"
"09/16/2025","5.72","5.72","5.72","5.72","19.07K","0.00%"
"09/15/2025","5.72","5.72","5.72","5.70","274.08K","0.00%"
"09/12/2025","5.72","5.74","5.74","5.72","0.32K","-2.72%"
"09/11/2025","5.88","5.90","5.90","5.88","0.00K","2.80%"
"09/10/2025","5.72","5.72","5.72","5.72","0.12K","0.00%"
"09/09/2025","5.72","5.80","5.80","5.70","11.75K","-1.72%"
"09/08/2025","5.82","5.74","5.82","5.62","5.64K","1.75%"
"09/05/2025","5.72","5.70","5.72","5.70","0.90K","2.14%"
"09/04/2025","5.60","5.60","5.60","5.60","2.00K","0.00%"
"09/03/2025","5.60","5.60","5.60","5.60","0.02K","0.00%"
"09/02/2025","5.60","5.64","5.68","5.60","6.51K","0.00%"
"09/01/2025","5.60","5.60","5.60","5.60","0.04K","0.00%"
"08/29/2025","5.60","5.60","5.60","5.60","0.59K","0.00%"
"08/28/2025","5.60","5.60","5.60","5.60","","0.00%"
"08/27/2025","5.60","5.60","5.60","5.60","38.65K","0.00%"
"08/26/2025","5.60","5.86","5.86","5.60","1.78K","0.00%"
"08/22/2025","5.60","5.64","5.64","5.60","6.25K","0.00%"
"08/21/2025","5.60","5.60","5.60","5.60","7.07K","0.00%"
"08/20/2025","5.60","5.60","5.60","5.60","3.90K","0.00%"
"08/19/2025","5.60","5.62","5.62","5.60","6.14K","-0.36%"
"08/18/2025","5.62","5.62","5.62","5.62","0.24K","0.00%"
"08/15/2025","5.62","5.70","5.72","5.62","4.75K","0.00%"
"08/14/2025","5.62","5.62","5.72","5.62","0.44K","0.00%"
"08/13/2025","5.62","5.62","5.62","5.62","0.03K","-3.44%"
"08/12/2025","5.82","5.82","5.82","5.82","0.17K","0.34%"
"08/11/2025","5.80","5.74","5.80","5.74","10.59K","0.69%"
"08/08/2025","5.76","5.62","5.76","5.62","17.91K","1.41%"
"08/07/2025","5.68","5.60","5.68","5.60","8.54K","0.00%"
"08/06/2025","5.68","5.58","5.68","5.56","13.14K","1.43%"
"08/05/2025","5.60","5.50","5.60","5.50","1.48K","2.19%"
"08/04/2025","5.48","5.40","5.48","5.40","8.68K","1.48%"
"08/01/2025","5.40","5.50","5.50","5.40","26.44K","-2.53%"
"07/31/2025","5.54","5.50","5.54","5.50","0.84K","-0.36%"
"07/30/2025","5.56","5.60","5.62","5.56","25.45K","-0.71%"
"07/29/2025","5.60","5.62","5.62","5.60","25.76K","-3.11%"
"07/28/2025","5.78","5.78","5.78","5.78","","0.00%"
"07/25/2025","5.78","5.58","5.78","5.54","16.81K","3.21%"
"07/24/2025","5.60","5.64","5.66","5.60","29.06K","1.08%"
"07/23/2025","5.54","5.66","5.66","5.54","10.80K","-3.82%"
"07/22/2025","5.76","5.70","5.76","5.66","2.52K","3.23%"
"07/21/2025","5.58","5.82","5.82","5.58","7.37K","-4.12%"
"07/18/2025","5.82","5.76","5.82","5.76","11.10K","1.04%"
"07/17/2025","5.76","5.76","5.76","5.70","5.13K","1.41%"
"07/16/2025","5.68","5.70","5.70","5.52","12.13K","4.41%"
"07/15/2025","5.44","5.60","5.68","5.44","44.89K","-2.51%"
"07/14/2025","5.58","5.58","5.58","5.58","0.29K","0.00%"
"07/11/2025","5.58","5.58","5.58","5.58","0.32K","0.36%"
"07/10/2025","5.56","5.58","5.58","5.52","77.50K","2.96%"
"07/09/2025","5.40","5.60","5.60","5.40","3.19K","-1.82%"
"07/08/2025","5.50","5.56","5.58","5.50","1.46K","-1.08%"
"07/07/2025","5.56","5.58","5.58","5.50","0.68K","0.00%"
"07/04/2025","5.56","5.56","5.56","5.56","1.70K","2.58%"
"07/03/2025","5.42","5.58","5.58","5.42","2.03K","-1.45%"
"07/02/2025","5.50","5.36","5.50","5.32","60.31K","2.61%"
"07/01/2025","5.36","5.44","5.46","5.32","22.49K","-2.55%"
"06/30/2025","5.50","5.60","5.60","5.50","67.27K","-1.79%"
"06/27/2025","5.60","5.60","5.70","5.58","43.70K","1.82%"
"06/26/2025","5.50","5.62","5.62","5.50","13.42K","-3.51%"
"06/25/2025","5.70","5.70","5.70","5.70","","0.00%"
"06/24/2025","5.70","5.94","5.94","5.70","2.44K","-2.06%"
"06/23/2025","5.82","5.82","5.82","5.82","1.00K","-1.69%"
"06/20/2025","5.92","6.00","6.00","5.86","23.70K","-2.95%"
"06/19/2025","6.10","6.16","6.16","6.10","5.18K","-0.97%"
"06/18/2025","6.16","6.14","6.16","6.14","10.96K","-0.32%"
"06/17/2025","6.18","6.04","6.18","6.04","12.04K","1.98%"
